type,count
家族(母と妹),1
娘二人と,1
子供24歳,1
兄弟といとこ,1
父親と私の娘,1
高校教師,1
祖父、祖母、曾祖母,1
蓮ノ空のことすぎすぎクラブのメンバー,1
自分の息子6ヶ月と友人,1
娘たちと女子旅行,1
親、夫婦,1
親と夫婦と子供,1
祖父,1
夫婦とその親夫婦,1
姉と義兄,1
身内,1
女3世代,1
ワークショップ,1
部活の巡検,1
sns交流会,1
姉家族,1
祖母と祖父と息子と自分,1
娘と2人,1
夫婦と妹,1
家族、親族,1
母、姉,1
実家の母と妹,1
家族旅行4人,1
職場の別部署のパートさんと,1
兄弟夫婦2組,1
娘たち,1
夫　母　娘,1
一族11人,1
小学生、中学生連れ,1
小学生、中学生連れの家族,1
母親と息子,1
祖母と弟,1
弟夫婦4人で。,1
PTA旅行,1
ボランティア団体,1
親、妹弟,1
公民館の研修,1
叔父,1
息子　大人,1
学会,1
全員大人の家族,1
母　妹弟,1
友人とその親,1
妻と成人した息子,1
娘（23歳）と2人で,1
大人の子供連れの夫婦,1
在住です。,1
高校生いか連れの家族,1
夫婦と大学生,1
夫婦2人と旦那の両親,1
両親と子供、3世帯,1
災害支援の人,1
YEGの仲間達,1
両親、夫婦、子供,1
子ども4 夫婦,1
自分の家族とじーじばーば,1
夫婦　孫　娘,1
夫婦・娘・孫,1
家族四人,1
1人で旅行　途中まで両親と妹,1
石川県在住,1
妻、息子(30代),1
親戚15人で旅行です^ ^,1
家族（家内、娘）,1
親戚（4家族）,1
家族大人のみ,1
社会人の息子,1
家族（親夫婦、夫婦、子供）,1
両親、兄弟、祖母,1
妻、長男、長女,1
お孫ちゃん,1
家族（小・中学生含む）,1
３世代家族,1
県内です,1
家族と親戚,1
夫婦とお腹の子♡,1
姉　姪,1
夫婦・子1人,1
お茶会仲間,1
兄弟の家庭含めた家族旅行,1
まご,1
祖母、母と,1
母、姉、息子,1
義理両親と息子,1
地区の委員,1
夫婦と大学生と社会人の家族,1
20歳以上の子供,1
夫と妹の３人で,1
高校生と親2人,1
高校生以上の子供,1
息子と2人,1
家族4,1
中学生以上の子供,1
成人の子と夫と自分の3人,1
従姉,1
夫婦➕ワンコ,1
夫婦と姉,1
娘夫婦、私達夫婦,1
夫婦2人、親戚2人、友人1人,1
親、兄弟、妻,1
後家族3人,1
夫婦　犬,1
成人した娘,1
高校生以上の子ども,1
高校生の子供連れ家族,1
